Type,Temperature(K),RGB
A2II,9400,188.205.255
A2III,9400,189.204.255
A2IV,9400,186.202.255
A2V,9400,187.203.255
A2VI,9400,187.203.255
A3Ia0,9320,207.219.255
A3Ia,9320,207.219.255
A3Ib,9320,207.219.255
A3II,9150,190.207.255
A3III,9150,189.203.255
A3IV,9150,190.205.255
A3V,9150,191.207.255
A3VI,9150,191.207.255
A4Ia0,9127,215.224.255
A4Ia,9127,215.224.255
A4Ib,9127,215.224.255
A4II,8900,192.208.255
A4III,8900,196.209.255
A4IV,8900,195.210.255
A4V,8900,197.211.255
A4VI,8900,197.211.255
A5Ia0,8933,223.229.255
A5Ia,8933,223.229.255
A5Ib,8933,223.229.255
A5II,8650,194.210.255
A5III,8650,202.215.255
A5IV,8650,212.220.255
A5V,8650,202.215.255
A5VI,8650,202.215.255
A6Ia0,8740,219.226.255
A6Ia,8740,219.226.255
A6Ib,8740,219.226.255
A6II,8400,196.211.255
A6III,8400,209.219.255
A6IV,8400,202.214.255
A6V,8400,199.212.255
A6VI,8400,199.212.255
A7Ia0,8547,215.223.255
